Time [s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
5.2,-1.986271784505852,-3.2989321399475036,-5.1349346477666815
5.225,-2.006401823027838,-3.360178959579173,-5.628750693098632
5.25,-1.9430471182148665,-3.2469024287011963,-6.1320705233613335
5.275,-1.7861348495875162,-3.0250645699308913,-6.659100965590818
5.3,-1.5199148969046052,-2.757291121997824,-7.224693236411767
5.325,-1.163021724002746,-2.5070996498888634,-7.81073508456242
5.35,-0.7870426207908758,-2.3040490700611227,-8.339999556078705
5.375,-0.45499522051522373,-2.1456577002769306,-8.735574284258172
5.4,-0.1813833454100053,-2.0230795352391686,-8.975264359058963
5.425,0.03309293613116348,-1.919930422277996,-9.080985232750376
5.45,0.19329903370073181,-1.8213642513484698,-9.095438375632598
5.475,0.3200794807067335,-1.7201622588630994,-9.066697616959253
5.5,0.4500102814958922,-1.6159157673430844,-9.026432854927927
5.525,0.5902637154976564,-1.531486568794835,-8.980279825625265
5.55,0.7113292352769324,-1.4984360248774145,-8.914835776368845
5.575,0.7942604733720601,-1.5031069868982503,-8.813280368547082
5.6,0.8221955673611728,-1.5124420646404961,-8.682549890196151
5.625,0.784483455749279,-1.5040103167773122,-8.536259449319907
5.65,0.7083172336006015,-1.4657557729614425,-8.3898860880484
5.675,0.6271820418621001,-1.3923847579351512,-8.2668708135856
5.7,0.5621390911723367,-1.283677584953089,-8.18402706187382
5.725,0.5521684031423362,-1.1542590432399207,-8.105248042650839
5.75,0.574136497549115,-1.0263245437728725,-7.964194874880359
5.775,0.49089260794823186,-0.9020566994027277,-7.721964445662435
5.8,0.22844468456224323,-0.7600443003018932,-7.34713628936268
5.825,-0.1846886404321383,-0.575301401850616,-6.853983206921684
5.85,-0.6666944784614488,-0.34337797365845707,-6.323378805449816
5.875,-1.0970412944785422,-0.0930575542998275,-5.841502252709739
5.9,-1.4912620908001255,0.09280171393471712,-5.390576316351676
5.925,-1.902284107147363,0.18632365578773477,-4.8797911793239
5.95,-2.31068942405951,0.23526250360530684,-4.241015451714134
5.975,-2.63496674107246,0.2883754668775106,-3.479276338890469
6.0,-2.714996155456723,0.3451579258331029,-2.648423289110893
6.025,-2.401384293179813,0.3706279167958307,-1.800119863440828
6.05,-1.8244437512178286,0.34181397480135334,-0.9433575797062186
6.075,-1.2898753158643563,0.2697141215631997,-0.06259001939985741
6.1,-0.9142674828762253,0.15582917400426585,0.7848004668664804
6.125,-0.6475012096754621,-0.0039292021202225426,1.5068687607606364
6.15,-0.47803935653558394,-0.18011627562538385,2.0666467210323654
